Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Diagonal Data Replication in Grid Environment","Computational Science and Its Applications – ICCSA 2007","","","","10.1007/978-3-540-74484-9_65","Rohaya LatipHamidah IbrahimMohamed OthmanMd Nasir SulaimanAzizol Abdullah","2007","http://link.springer.com/chapter/10.1007/978-3-540-74484-9_65","Chapter"
"Data Grid Model Based on Structured P2P Overlay Network","Advanced Parallel Processing Technologies","","","","10.1007/978-3-540-76837-1_32","Wei SongYuelong ZhaoWenying ZengWenfeng Wang","2007","http://link.springer.com/chapter/10.1007/978-3-540-76837-1_32","Chapter"
"Dual Quorum Replication (DQR): A Protocol for Data Replication in Data Grid","Database Theory and Application, Bio-Science and Bio-Technology","","","","10.1007/978-3-642-17622-7_22","Rohaya LatipAminah Hidayah Mohamad Ariff","2010","http://link.springer.com/chapter/10.1007/978-3-642-17622-7_22","Chapter"
"Decentralized Online Social Networks","Handbook of Social Network Technologies and Applications","","","","10.1007/978-1-4419-7142-5_17","Anwitaman DattaSonja BucheggerLe-Hung VuThorsten StrufeKrzysztof Rzadca","2010","http://link.springer.com/chapter/10.1007/978-1-4419-7142-5_17","Chapter"
"A View on the Blockchain as a Solution to the Healthcare Industry: Challenges and Opportunities","Advances in Computational Intelligence, Security and Internet of Things","","","","10.1007/978-981-15-3666-3_14","SharmilaKrista ChaudharyUmang KantPramod Kumar","2020","http://link.springer.com/chapter/10.1007/978-981-15-3666-3_14","Chapter"
"A General Survey of Privacy-Preserving Data Mining Models and Algorithms","Privacy-Preserving Data Mining","","","","10.1007/978-0-387-70992-5_2","Charu C. AggarwalPhilip S. Yu","2008","http://link.springer.com/chapter/10.1007/978-0-387-70992-5_2","Chapter"
"A Public Health Surveillance Platform Exploiting Free-Text Sources via Natural Language Processing and Linked Data: Application in Adverse Drug Reaction Signal Detection Using PubMed and Twitter","Knowledge Representation for Health Care","","","","10.1007/978-3-319-55014-5_4","Pantelis NatsiavasNicos MaglaverasVassilis Koutkias","2017","http://link.springer.com/chapter/10.1007/978-3-319-55014-5_4","Chapter"
"A Scalable Framework for Distributed Ontologies","Agent and Multi-Agent Systems: Technologies and Applications","","","","10.1007/978-3-540-78582-8_25","Ngot Phu BuiYoung-Tack ParkTaeChoong Chung","2008","http://link.springer.com/chapter/10.1007/978-3-540-78582-8_25","Chapter"
"Privacy-enhanced Location-based Access Control","Handbook of Database Security","","","","10.1007/978-0-387-48533-1_22","C.A. ArdagnaM. CremoniniS. De Capitani di VimercatiP. Samarati","2008","http://link.springer.com/chapter/10.1007/978-0-387-48533-1_22","Chapter"
"A Review on Blockchain-Based Systems and Applications","Internet of Vehicles. Technologies and Services Toward Smart Cities","","","","10.1007/978-3-030-38651-1_20","Jingyu ZhangSiqi ZhongJin WangLei WangYaqiong YangBoyang WeiGuoyao Zhou","2020","http://link.springer.com/chapter/10.1007/978-3-030-38651-1_20","Chapter"
"Integration operators for generating RDF/OWL-based user defined mediator views in a grid environment","Journal of Intelligent Information Systems","","43","1","10.1007/s10844-013-0300-5","Abdel-Rahman H. TawilAdel TaweelUsman NaeemMatthew MontebelloRabih BashroushAmeer Al-Nemrat","2014","http://link.springer.com/article/10.1007/s10844-013-0300-5","Article"
"Minimizing Metadata Access Latency in Wide Area Networked File Systems","High Performance Computing - HiPC 2006","","","","10.1007/11945918_32","Jian LiangAniruddha BohraHui ZhangSamrat GangulyRauf Izmailov","2006","http://link.springer.com/chapter/10.1007/11945918_32","Chapter"
"Developing Ontology-Based Framework Using Semantic Grid","Advances in Computer and Information Sciences and Engineering","","","","10.1007/978-1-4020-8741-7_97","P. Venkata KrishnaRatika Khetrapal","2008","http://link.springer.com/chapter/10.1007/978-1-4020-8741-7_97","Chapter"
"Privacy Disclosure Analysis and Control for 2D Contingency Tables Containing Inaccurate Data","Privacy in Statistical Databases","","","","10.1007/978-3-642-15838-4_1","Bing LiangKevin ChiewYingjiu LiYanjiang Yang","2010","http://link.springer.com/chapter/10.1007/978-3-642-15838-4_1","Chapter"
"Fragmentation and Encryption to Enforce Privacy in Data Storage","Computer Security – ESORICS 2007","","","","10.1007/978-3-540-74835-9_12","Valentina CirianiSabrina De Capitani di VimercatiSara ForestiSushil JajodiaStefano ParaboschiPierangela Samarati","2007","http://link.springer.com/chapter/10.1007/978-3-540-74835-9_12","Chapter"
"Building orchestrated microservice systems using declarative business processes","Service Oriented Computing and Applications","","","","10.1007/s11761-020-00300-2","Davi MonteiroPaulo Henrique M. MaiaLincoln S. RochaNabor C. Mendonça","2020","http://link.springer.com/article/10.1007/s11761-020-00300-2","Article"
"Beethoven: An Event-Driven Lightweight Platform for Microservice Orchestration","Software Architecture","","","","10.1007/978-3-030-00761-4_13","Davi MonteiroRômulo GadelhaPaulo Henrique M. MaiaLincoln S. RochaNabor C. Mendonça","2018","http://link.springer.com/chapter/10.1007/978-3-030-00761-4_13","Chapter"
"A Systematic Literature Review on Microservices","Computational Science and Its Applications – ICCSA 2017","","","","10.1007/978-3-319-62407-5_14","Hulya VuralMurat KoyuncuSinem Guney","2017","http://link.springer.com/chapter/10.1007/978-3-319-62407-5_14","Chapter"
"APIs Rule!","Advanced API Security","","","","10.1007/978-1-4842-2050-4_1","Prabath Siriwardena","2020","http://link.springer.com/chapter/10.1007/978-1-4842-2050-4_1","Chapter"
"Cloud-Enabled Domain-Based Software Development","Software Engineering in the Era of Cloud Computing","","","","10.1007/978-3-030-33624-0_5","Selma SulogluM. Cagri KayaAnil CetinkayaAlper KaramanliogluAli H. Dogru","2020","http://link.springer.com/chapter/10.1007/978-3-030-33624-0_5","Chapter"
"A Peer-to-Peer Architecture for Information Retrieval Across Digital Library Collections","Research and Advanced Technology for Digital Libraries","","","","10.1007/11863878_2","Ivana PodnarToan LuuMartin RajmanFabius KlemmKarl Aberer","2006","http://link.springer.com/chapter/10.1007/11863878_2","Chapter"
"GrAPP&S, a Distributed Framework for E-learning Resources Sharing","e-Infrastructure and e-Services for Developing Countries","","","","10.1007/978-3-319-08368-1_26","Thierno Ahmadou DialloOlivier FlauzacLuiz Angelo SteffenelSamba N’DiayeYoussou Dieng","2014","http://link.springer.com/chapter/10.1007/978-3-319-08368-1_26","Chapter"
"Migrating to Microservices","Microservices","","","","10.1007/978-3-030-31646-4_3","Alexis HenryYoussef Ridene","2020","http://link.springer.com/chapter/10.1007/978-3-030-31646-4_3","Chapter"
"Directions in Distributed Databases","GI — 18. Jahrestagung II","","","","10.1007/978-3-642-74135-7_46","S. Ceri","1988","http://link.springer.com/chapter/10.1007/978-3-642-74135-7_46","Chapter"
"Challenges for Rule Systems on the Web","Rule Interchange and Applications","","","","10.1007/978-3-642-04985-9_4","Yuh-Jong HuChing-Long YehWolfgang Laun","2009","http://link.springer.com/chapter/10.1007/978-3-642-04985-9_4","Chapter"
"Native Cloud Applications: Why Monolithic Virtualization Is Not Their Foundation","Cloud Computing and Services Science","","","","10.1007/978-3-319-62594-2_2","Frank LeymannUwe BreitenbücherSebastian WagnerJohannes Wettinger","2017","http://link.springer.com/chapter/10.1007/978-3-319-62594-2_2","Chapter"
"An Experience Report from the Migration of Legacy Software Systems to Microservice Based Architecture","16th International Conference on Information Technology-New Generations (ITNG 2019)","","","","10.1007/978-3-030-14070-0_26","Hugo Henrique S. da SilvaGlauco de F. CarneiroMiguel P. Monteiro","2019","http://link.springer.com/chapter/10.1007/978-3-030-14070-0_26","Chapter"
"Transparency Driven Public Sector Innovation: Smart Waterways and Maritime Traffic in Finland","Information Systems","","","","10.1007/978-3-030-11395-7_27","Vaida MeskauskieneAnssi ÖörniAnna Sell","2019","http://link.springer.com/chapter/10.1007/978-3-030-11395-7_27","Chapter"
"Models@run.time: a guided tour of the state of the art and research challenges","Software & Systems Modeling","","18","5","10.1007/s10270-018-00712-x","Nelly BencomoSebastian GötzHui Song","2019","http://link.springer.com/article/10.1007/s10270-018-00712-x","Article"
