"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Low-latency Federated Learning and Blockchain for Edge Association in Digital Twin empowered 6G Networks","Y. Lu; X. Huang; K. Zhang; S. Maharjan; Y. Zhang","Institute of Network Technology, Beijing University of Posts and Telecommunications, 12472 Beijing China 100876 (e-mail: yunlong.lu@ieee.org); beijing China 100876 (e-mail: huangxh@bupt.edu.cn); University of Electronic and Science Technology of China, Chengdu China 610064 (e-mail: zhangke@uestc.edu.cn); Simula Research Laboratory, Oslo Norway 1325 (e-mail: sabita@simula.no); Department of Informatics, University of Oslo, Oslo Norway 0111 (e-mail: yanzhang@ieee.org)","IEEE Transactions on Industrial Informatics","","2020","PP","99","1","1","Emerging technologies such as digital twins and 6th Generation mobile networks (6G) have accelerated the realization of edge intelligence in Industrial Internet of Things (IIoT). Federated learning has been regarded as a promising solution in wireless networks. However, unreliable communication channels and limited resources hinder its application in IIoT. In this paper, we introduce Digital Twin Wireless Networks (DTWN) to migrate real-time data processing and computation to the edge plane. Then, we propose a blockchain empowered federated learning framework running in the DTWN for collaborative computing. To balance the learning accuracy and time cost of the proposed scheme, we formulate an optimization problem for edge association by jointly considering digital twin association, training data batch size, and bandwidth allocation. We exploit multi-agent reinforcement learning to find an optimal solution. Numerical results on real-world dataset show that the proposed scheme yields improved efficiency and reduced cost compared to benchmark learning method.","1941-0050","","10.1109/TII.2020.3017668","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9170905","Communication efficiency;Blockchain;Federated learning;Digital twin;Wirelesss networks","","","","","","","","18 Aug 2020","","","IEEE","IEEE Early Access Articles"
"Communication-efficient Federated Learning and Permissioned Blockchain for Digital Twin Edge Networks","Y. Lu; X. Huang; K. Zhang; S. Maharjan; Y. Zhang","Institute of Network Technology, Beijing University of Posts and Telecommunications, Beijing, China.; Institute of Network Technology, Beijing University of Posts and Telecommunications, Beijing, China.; School of Information and Communication Engineering, University of Electronic Science and Technology of China.; University of Oslo, 0316 Oslo, Norway, and also with the Simula Metropolitan Center for Digital Engineering, 0167 Oslo, Norway.; University of Oslo, 0316 Oslo, Norway, and also with the Simula Metropolitan Center for Digital Engineering, 0167 Oslo, Norway.","IEEE Internet of Things Journal","","2020","PP","99","1","1","Emerging technologies such as Mobile Edge Computing (MEC) and next generation communications are crucial for enabling rapid development and deployment of Internet of Things (IoT). With the increasing scale of IoT networks, how to optimize the network and allocate the limited resources to provide high-quality services, remains as a major concern. Existing work in this direction mainly relies on models that are of less practical value for resource limited IoT networks, and can hardly simulate the dynamic systems in real-time. In this paper, we integrate digital twins with edge networks and propose the Digital Twin Edge Networks (DITEN) to fill the gap between physical edge networks and digital systems. Then, we propose a blockchain empowered federated learning scheme to strengthen communication security and data privacy protection in DITEN. Furthermore, to improve efficiency of the integrated scheme, we propose an asynchronous aggregation scheme and use digital twin empowered reinforcement learning to schedule relaying users and allocate bandwidth resources. Theoretical analysis and numerical results confirm that the proposed scheme can considerably enhance both communication efficiency and data security for IoT applications.","2327-4662","","10.1109/JIOT.2020.3015772","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9164912","Communication efficiency;Blockchain;federated learning;Digital twin;Edge networks.","Artificial intelligence;Optimization;Data privacy;Internet of Things;Edge computing;Resource management","","","","","","","11 Aug 2020","","","IEEE","IEEE Early Access Articles"
"Blockchain and Federated Learning for Privacy-Preserved Data Sharing in Industrial IoT","Y. Lu; X. Huang; Y. Dai; S. Maharjan; Y. Zhang","Institute of Network Technology, Beijing University of Posts and Telecommunications, Beijing, China; Institute of Network Technology, Beijing University of Posts and Telecommunications, Beijing, China; University of Electronic Science and Technology of China, Chengdu, China; Simula Metropolitan Center for Digital Engineering, Norway; Department of Informatics, University of Oslo, Oslo, Norway","IEEE Transactions on Industrial Informatics","6 Mar 2020","2020","16","6","4177","4186","The rapid increase in the volume of data generated from connected devices in industrial Internet of Things paradigm, opens up new possibilities for enhancing the quality of service for the emerging applications through data sharing. However, security and privacy concerns (e.g., data leakage) are major obstacles for data providers to share their data in wireless networks. The leakage of private data can lead to serious issues beyond financial loss for the providers. In this article, we first design a blockchain empowered secure data sharing architecture for distributed multiple parties. Then, we formulate the data sharing problem into a machine-learning problem by incorporating privacy-preserved federated learning. The privacy of data is well-maintained by sharing the data model instead of revealing the actual data. Finally, we integrate federated learning in the consensus process of permissioned blockchain, so that the computing work for consensus can also be used for federated training. Numerical results derived from real-world datasets show that the proposed data sharing scheme achieves good accuracy, high efficiency, and enhanced security.","1941-0050","","10.1109/TII.2019.2942190","National Natural Science Foundation of China; Xinjiang; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8843900","Data sharing;federated learning;industrial Internet of Things (IIoT);permissioned blockchain, privacy-preserved","Distributed databases;Blockchain;Data models;Data privacy;Machine learning;Collaboration;Security","data mining;data privacy;Internet of Things;learning (artificial intelligence)","industrial IoT;connected devices;quality of service;data privacy concerns;data leakage;data providers;machine-learning problem;data model;permissioned blockchain;privacy-preserved data sharing;industrial Internet of Things paradigm;wireless networks;secure data sharing architecture;privacy-preserved federated learning","","9","29","IEEE","18 Sep 2019","","","IEEE","IEEE Journals"
"Decentralized Privacy Using Blockchain-Enabled Federated Learning in Fog Computing","Y. Qu; L. Gao; T. H. Luan; Y. Xiang; S. Yu; B. Li; G. Zheng","School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Cyber Engineering, Xidian University, Xi’an, China; School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Software, University of Technology Sydney, Ultimo, NSW, Australia; Department of Research and Development, Health Chain Technology, Melbourne, VIC, Australia; Nenglian Technology, Beijing, China","IEEE Internet of Things Journal","12 Jun 2020","2020","7","6","5171","5183","As the extension of cloud computing and a foundation of IoT, fog computing is experiencing fast prosperity because of its potential to mitigate some troublesome issues, such as network congestion, latency, and local autonomy. However, privacy issues and the subsequent inefficiency are dragging down the performances of fog computing. The majority of existing works hardly consider a reasonable balance between them while suffering from poisoning attacks. To address the aforementioned issues, we propose a novel blockchain-enabled federated learning (FL-Block) scheme to close the gap. FL-Block allows local learning updates of end devices exchanges with a blockchain-based global learning model, which is verified by miners. Built upon this, FL-Block enables the autonomous machine learning without any centralized authority to maintain the global model and coordinates by using a Proof-of-Work consensus mechanism of the blockchain. Furthermore, we analyze the latency performance of FL-Block and further derive the optimal block generation rate by taking communication, consensus delays, and computation cost into consideration. Extensive evaluation results show the superior performances of FL-Block from the aspects of privacy protection, efficiency, and resistance to the poisoning attack.","2327-4662","","10.1109/JIOT.2020.2977383","China Scholarship Council (CSC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9019859","Blockchain;federated learning;fog computing;privacy protection","Privacy;Edge computing;Data privacy;Internet of Things;Computational modeling;Data models","cloud computing;cryptography;data privacy;distributed databases;Internet of Things;learning (artificial intelligence)","decentralized privacy;fog computing;cloud computing;local autonomy;poisoning attack;local learning updates;blockchain-based global learning model;autonomous machine learning;global model;proof-of-work consensus mechanism;latency performance;optimal block generation rate;computation cost;privacy protection;FL-block;blockchain-enabled federated learning","","4","41","IEEE","2 Mar 2020","","","IEEE","IEEE Journals"
"Towards Blockchain-Based Reputation-Aware Federated Learning","M. H. ur Rehman; K. Salah; E. Damiani; D. Svetinovic","Center for Cyber-Physical Systems, Khalifa University of Science and Technology,Abu Dhabi,United Arab Emirates; Center for Cyber-Physical Systems, Khalifa University of Science and Technology,Abu Dhabi,United Arab Emirates; Center for Cyber-Physical Systems, Khalifa University of Science and Technology,Abu Dhabi,United Arab Emirates; Center for Cyber-Physical Systems, Khalifa University of Science and Technology,Abu Dhabi,United Arab Emirates","IEEE INFOCOM 2020 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)","10 Aug 2020","2020","","","183","188","Federated learning (FL) is the collaborative machine learning (ML) technique whereby the devices collectively train and update a shared ML model while preserving their personal datasets. FL systems solve the problems of communication-efficiency, bandwidth-optimization, and privacy-preservation. Despite the potential benefits of FL, one centralized shared ML model across all the devices produce coarse-grained predictions which, in essence, are not required in many application areas involving personalized prediction services. In this paper, we present a novel concept of fine-grained FL to decentralize the shared ML models on the edge servers. We then present a formal extended definition of fine-grained FL process in mobile edge computing systems. In addition, we define the core requirements of fine-grained FL systems including personalization, decentralization, fine-grained FL, incentive mechanisms, trust, activity monitoring, heterogeneity and context-awareness, model synchronization, and communication and bandwidth-efficiency. Moreover, we present the concept of blockchain-based reputation-aware fine-grained FL in order to ensure trustworthy collaborative training in mobile edge computing systems. Finally, we perform the qualitative comparison of proposed approach with state-of-the-art related work and found some promising initial results.","","978-1-7281-8695-5","10.1109/INFOCOMWKSHPS50562.2020.9163027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163027","blockchain;machine learning;federated learning;mobile edge computing;reputation;trust","Data models;Servers;Training;Privacy;Cloud computing;Machine learning","cryptography;data privacy;distributed databases;learning (artificial intelligence);mobile computing","blockchain-based reputation-aware federated learning;collaborative machine learning technique;personal datasets;communication-efficiency;bandwidth-optimization;privacy-preservation;trustworthy collaborative training;blockchain-based reputation-aware fine-grained FL;model synchronization;mobile edge computing systems;fine-grained FL process;personalized prediction services;coarse-grained predictions;centralized shared ML model","","","29","","10 Aug 2020","","","IEEE","IEEE Conferences"
"Blockchain Empowered Asynchronous Federated Learning for Secure Data Sharing in Internet of Vehicles","Y. Lu; X. Huang; K. Zhang; S. Maharjan; Y. Zhang","Institute of Network Technology, Beijing University of Posts and Telecommunications, Beijing, China; Institute of Network Technology, Beijing University of Posts and Telecommunications, Beijing, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; Simula Metropolitan Center for Digital Engineeing, Oslo, Norway; University of Oslo, Norway","IEEE Transactions on Vehicular Technology","16 Apr 2020","2020","69","4","4298","4311","In Internet of Vehicles (IoV), data sharing among vehicles for collaborative analysis can improve the driving experience and service quality. However, the bandwidth, security and privacy issues hinder data providers from participating in the data sharing process. In addition, due to the intermittent and unreliable communications in IoV, the reliability and efficiency of data sharing need to be further enhanced. In this paper, we propose a new architecture based on federated learning to relieve transmission load and address privacy concerns of providers. To enhance the security and reliability of model parameters, we develop a hybrid blockchain architecture which consists of the permissioned blockchain and the local Directed Acyclic Graph (DAG). Moreover, we propose an asynchronous federated learning scheme by adopting Deep Reinforcement Learning (DRL) for node selection to improve the efficiency. The reliability of shared data is also guaranteed by integrating learned models into blockchain and executing a two-stage verification. Numerical results show that the proposed data sharing scheme provides both higher learning accuracy and faster convergence.","1939-9359","","10.1109/TVT.2020.2973651","National Natural Science Foundation of China and Xinjiang; Key R&D Project of Sichuan Province; Opening Project of Shanghai Trusted Industrial Control Platform; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8998397","Data sharing;Blockchain;Asynchronous federated learning;Deep reinforcement learning;Internet of Vehicles","Resource management;Reliability;Device-to-device communication;Wireless networks;Data privacy","cryptocurrencies;data privacy;directed graphs;distributed databases;Internet of Things;learning (artificial intelligence);vehicular ad hoc networks","secure data sharing;IoV;collaborative analysis;driving experience;service quality;security issues;privacy issues;data providers;unreliable communications;transmission load;model parameters;hybrid blockchain architecture;asynchronous federated learning scheme;data sharing scheme;Internet of Vehicles;local directed acyclic graph;DAG;deep reinforcement learning","","3","43","IEEE","13 Feb 2020","","","IEEE","IEEE Journals"
"Learning in the Air: Secure Federated Learning for UAV-Assisted Crowdsensing","Y. Wang; Z. Su; N. Zhang; A. Benslimane","Shanghai University, 34747 Shanghai, Shanghai China (e-mail: wyt2426697973@163.com); School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, Shanghai China (e-mail: zhousu@ieee.org); Computing Sciences, Texas A&M University Corpus Christi, 14738 Corpus Christi, Texas United States 78412 (e-mail: ning.zhang@tamucc.edu); Computer Sciences LIA/CERI, University of Avignon, Avignon cedex 9, PACA France 84911 (e-mail: abderrahim.benslimane@univ-avignon.fr)","IEEE Transactions on Network Science and Engineering","","2020","PP","99","1","1","Unmanned aerial vehicles (UAVs) combined with artificial intelligence (AI) has opened a revolutionized way for mobile crowdsensing (MCS). Federated learning, as a promising distributed AI paradigm, has opened up possibilities for UAVs to collaboratively train a shared global model without revealing their local sensing data. However, there still exist potential security and privacy threats for UAV-assisted crowdsensing with federated learning due to the vulnerability of central curator, unreliable contribution recording, and low-quality shared local models. In this paper, we propose SFAC, a secure federated learning framework for UAV-assisted MCS. Specifically, we first introduce a blockchain-based collaborative learning architecture for UAVs to securely exchange local model updates and verify contributions without the central curator. Then, by applying local differential privacy, we design a privacy-preserving algo- rithm to protect UAVs' privacy of updated local models with desirable learning accuracy. Furthermore, a two-tier reinforce- ment learning-based incentive mechanism is exploited as well to promote UAVs' high-quality model sharing without explicit knowledge of network parameters. Extensive simulations are conducted, and the results validate that the proposed SFAC can effectively improve utilities for UAVs, promote high-quality model sharing, and ensure privacy protection in federated learning, compared with existing schemes","2327-4697","","10.1109/TNSE.2020.3014385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9159929","UAV;AI security;federated learning;blockchain;reinforcement learning;local differential privacy","Data models;Sensors;Task analysis;Training;Computational modeling;Artificial intelligence","","","","","","","5 Aug 2020","","","IEEE","IEEE Early Access Articles"
"Federated Learning With Blockchain for Autonomous Vehicles: Analysis and Design Challenges","S. R. Pokhrel; J. Choi","School of IT, Deakin University, Geelong, VIC, Australia; School of IT, Deakin University, Geelong, VIC, Australia","IEEE Transactions on Communications","13 Aug 2020","2020","68","8","4734","4746","We propose an autonomous blockchain-based federated learning (BFL) design for privacy-aware and efficient vehicular communication networking, where local on-vehicle machine learning (oVML) model updates are exchanged and verified in a distributed fashion. BFL enables oVML without any centralized training data or coordination by utilizing the consensus mechanism of the blockchain. Relying on a renewal reward approach, we develop a mathematical framework that features the controllable network and BFL parameters (e.g., the retransmission limit, block size, block arrival rate, and the frame sizes) so as to capture their impact on the system-level performance. More importantly, our rigorous analysis of oVML system dynamics quantifies the end-to-end delay with BFL, which provides important insights into deriving optimal block arrival rate by considering communication and consensus delays. We present a variety of numerical and simulation results highlighting various non-trivial findings and insights for adaptive BFL design. In particular, based on analytical results, we minimize the system delay by exploiting the channel dynamics and demonstrate that the proposed idea of tuning the block arrival rate is provably online and capable of driving the system dynamics to the desired operating point. It also identifies the improved dependency on other blockchain parameters for a given set of channel conditions, retransmission limits, and frame sizes.1 However, a number of challenges (gaps in knowledge) need to be resolved in order to realise these changes. In particular, we identify key bottleneck challenges requiring further investigations, and provide potential future reserach directions.1An early version of this work has been accepted for presentation in IEEE WCNC Wksps 2020 [1].","1558-0857","","10.1109/TCOMM.2020.2990686","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9079513","On-vehicle machine learning;federated learning;blockchain;delay analysis;consensus delay;low delay","Delays;Blockchain;Computational modeling;Training;Autonomous vehicles;Servers;Machine learning","","","","","44","IEEE","27 Apr 2020","","","IEEE","IEEE Journals"
"Incentive Mechanism for Reliable Federated Learning: A Joint Optimization Approach to Combining Reputation and Contract Theory","J. Kang; Z. Xiong; D. Niyato; S. Xie; J. Zhang","School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; Guangdong Key Laboratory of IoT Information Technology, Ministry of Education, Guangdong University of Technology, Guangzhou, China; School of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA","IEEE Internet of Things Journal","11 Dec 2019","2019","6","6","10700","10714","Federated learning is an emerging machine learning technique that enables distributed model training using local datasets from large-scale nodes, e.g., mobile devices, but shares only model updates without uploading the raw training data. This technique provides a promising privacy preservation for mobile devices while simultaneously ensuring high learning performance. The majority of existing work has focused on designing advanced learning algorithms with an aim to achieve better learning performance. However, the challenges, such as incentive mechanisms for participating in training and worker (i.e., mobile devices) selection schemes for reliable federated learning, have not been explored yet. These challenges have hindered the widespread adoption of federated learning. To address the above challenges, in this article, we first introduce reputation as the metric to measure the reliability and trustworthiness of the mobile devices. We then design a reputation-based worker selection scheme for reliable federated learning by using a multiweight subjective logic model. We also leverage the blockchain to achieve secure reputation management for workers with nonrepudiation and tamper-resistance properties in a decentralized manner. Moreover, we propose an effective incentive mechanism combining reputation with contract theory to motivate high-reputation mobile devices with high-quality data to participate in model learning. Numerical results clearly indicate that the proposed schemes are efficient for reliable federated learning in terms of significantly improving the learning accuracy.","2327-4662","","10.1109/JIOT.2019.2940820","WASP/NTU; Singapore Ministry of Education (MOE) Tier 1; MOE Tier 2; Singapore-Israel NRF-ISF; EMA Energy Resilience; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8832210","Blockchain;contract theory;federated learning;mobile networks;reputation;security and privacy","Mobile handsets;Reliability;Task analysis;Data models;Training;Blockchain;Contracts","data privacy;learning (artificial intelligence);peer-to-peer computing","incentive mechanism;reliable federated learning;machine learning technique;reputation-based worker selection scheme;high-reputation mobile devices;model learning;learning accuracy;joint optimization approach;contract theory","","16","36","IEEE","11 Sep 2019","","","IEEE","IEEE Journals"
"Blockchain Technology and Neural Networks for the Internet of Medical Things","D. Połap; G. Srivastava; A. Jolfaei; R. M. Parizi","Silesian University of Technology,Faculty of Applied Mathematics,Kaszubska 23, Gliwice,Poland,44-100; Brandon University,Department of Mathematics and Computer Science,Brandon,MB,Canada,R7A 6A9; Macquarie University,Department of Computer Science,Australia; College of Computing and Software Engineering, Kennesaw State University,GA,USA","IEEE INFOCOM 2020 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)","10 Aug 2020","2020","","","508","513","In today's technological climate, users require fast automation and digitization of results for large amounts of data at record speeds. Especially in the field of medicine, where each patient is often asked to undergo many different examinations within one diagnosis or treatment. Each examination can help in the diagnosis or prediction of further disease progression. Furthermore, all produced data from these examinations must be stored somewhere and available to various medical practitioners for analysis who may be in geographically diverse locations. The current medical climate leans towards remote patient monitoring and AI-assisted diagnosis. To make this possible, medical data should ideally be secured and made accessible to many medical practitioners, which makes them prone to malicious entities. Medical information has inherent value to malicious entities due to its privacy-sensitive nature in a variety of ways. Furthermore, if access to data is distributively made available to AI algorithms (particularly neural networks) for further analysis/diagnosis, the danger to the data may increase (e.g., model poisoning with fake data introduction). In this paper, we propose a federated learning approach that uses decentralized learning with blockchain-based security and a proposition that accompanies that training intelligent systems using distributed and locally-stored data for the use of all patients. Our work in progress hopes to contribute to the latest trend of the Internet of Medical Things security and privacy.","","978-1-7281-8695-5","10.1109/INFOCOMWKSHPS50562.2020.9162735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9162735","Neural Networks;Federated Learning;Internet of Things;Internet of Medical Things;Blockchain;Patient Data;Security;Privacy","Medical diagnostic imaging;Computational modeling;Data models;Training","cryptography;data privacy;diseases;Internet of Things;learning (artificial intelligence);medical diagnostic computing;medical information systems;neural nets;patient diagnosis;patient monitoring","malicious entities;medical information;privacy-sensitive nature;AI algorithms;blockchain-based security;Internet of Medical Things;disease progression;medical practitioners;geographically diverse locations;remote patient monitoring;AI-assisted diagnosis;medical data;neural networks;medicine;medical climate;federated learning;decentralized learning;intelligent systems","","","23","","10 Aug 2020","","","IEEE","IEEE Conferences"
"Mechanism Design for An Incentive-aware Blockchain-enabled Federated Learning Platform","K. Toyoda; A. N. Zhang","Singapore Institute of Manufacturing Technology,A*STAR,Singapore; Singapore Institute of Manufacturing Technology,A*STAR,Singapore","2019 IEEE International Conference on Big Data (Big Data)","24 Feb 2020","2019","","","395","403","Recent technological evolution enables Artificial Intelligence (AI) model training by users' mobile devices, which accelerates decentralized big data analysis. In particular, Federated Learning (FL) is a key enabler to realize decentralized AI model update without user's privacy disclosure. However, since the behaviour of workers, who are assigned a training task, cannot be monitored, the state-of-the-art methods require a special hardware and/or cryptography to force the workers behave honestly, which hinders the realization. Furthermore, although blockchain-enabled FL has been proposed to give workers reward, any rigorous reward policy design has not been discussed. In this paper, to tackle these issues, we present a novel method using mechanism design, which is an economic approach to realize desired objectives under the situation that participants act rationally. The key idea is to introduce repeated competition for FL so that any rational worker follows the protocol and maximize their profits. With mechanism design, we propose a generic full-fledged protocol design for FL on a public blockchain. We also theoretically clarify incentive compatibility based on contest theory which is an auction-based game theory in economics.","","978-1-7281-0858-2","10.1109/BigData47090.2019.9006344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006344","","Contracts;Machine learning;Data models;Bitcoin;Computational modeling","cryptography;data analysis;data privacy;game theory;incentive schemes;learning (artificial intelligence);multi-agent systems","full-fledged protocol design;public blockchain;mechanism design;technological evolution;artificial intelligence model training;big data analysis;AI model update;training task;special hardware;blockchain-enabled FL;rigorous reward policy design;rational worker;incentive-aware blockchain-enabled federated learning platform","","2","20","","24 Feb 2020","","","IEEE","IEEE Conferences"
"Tangle Ledger for Decentralized Learning","R. Schmid; B. Pfitzner; J. Beilharz; B. Arnrich; A. Polze","Hasso Plattner Institute, University of Potsdam,Germany; Hasso Plattner Institute, University of Potsdam,Germany; Hasso Plattner Institute, University of Potsdam,Germany; Hasso Plattner Institute, University of Potsdam,Germany; Hasso Plattner Institute, University of Potsdam,Germany","2020 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)","28 Jul 2020","2020","","","852","859","Federated learning has the potential to make machine learning applicable to highly privacy-sensitive domains and distributed datasets. In some scenarios, however, a central server for aggregating the partial learning results is not available. In fully decentralized learning, a network of peer-to-peer nodes collaborates to form a consensus on a global model without a trusted aggregating party. Often, the network consists of Internet of Things (IoT) and Edge computing nodes.Previous approaches for decentralized learning map the gradient batching and averaging algorithm from traditional federated learning to blockchain architectures. In an open network of participating nodes, the threat of adversarial nodes introducing poisoned models into the network increases compared to a federated learning scenario which is controlled by a single authority. Hence, the decentralized architecture must additionally include a machine learning-aware fault tolerance mechanism to address the increased attack surface.We propose a tangle architecture for decentralized learning, where the validity of model updates is checked as part of the basic consensus. We provide an experimental evaluation of the proposed architecture, showing that it performs well in both model convergence and model poisoning protection.","","978-1-7281-7445-7","10.1109/IPDPSW50202.2020.00144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9150433","machine learning;consensus protocol;edge computing;information security;fault tolerance","Training;Data models;Peer-to-peer computing;Computer architecture;Machine learning;Distributed databases","cryptography;data privacy;distributed databases;fault tolerant computing;learning (artificial intelligence);peer-to-peer computing","decentralized architecture;machine learning-aware fault tolerance mechanism;blockchain architectures;tangle architecture;distributed datasets;tangle ledger;open network;federated learning;trusted aggregating party;peer-to-peer nodes;decentralized learning;privacy-sensitive domains;model poisoning protection;model convergence","","","32","","28 Jul 2020","","","IEEE","IEEE Conferences"
"A Decentralized Federated Learning Approach for Connected Autonomous Vehicles","S. R. Pokhrel; J. Choi",Deakin University; Deakin University,"2020 IEEE Wireless Communications and Networking Conference Workshops (WCNCW)","25 Jun 2020","2020","","","1","6","In this paper, we propose an autonomous blockchain-based federated learning (BFL) design for privacy-aware and efficient vehicular communication networking, where local on-vehicle machine learning (oVML) model updates are exchanged and verified in a distributed fashion. BFL enables on-vehicle machine learning without any centralized training data or coordination by utilizing the consensus mechanism of the blockchain. Relying on a renewal reward approach, we develop a mathematical framework that features the controllable network and BFL parameters, such as the retransmission limit, block size, block arrival rate, and the frame sizes, so as to capture their impact on the system-level performance. More importantly, our rigorous analysis of oVML system dynamics quantifies the end-to-end delay with BFL, which provides important insights into deriving optimal block arrival rate by considering communication and consensus delays.","","978-1-7281-5178-6","10.1109/WCNCW48565.2020.9124733","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9124733","on-Vehicle Machine Learning;Federated learning;Blockchain;Delay Analysis;consensus delay;low delay","","cryptography;learning (artificial intelligence);mobile computing;telecommunication computing;vehicular ad hoc networks","end-to-end delay;privacy-aware networking;connected autonomous vehicles;consensus delays;optimal block arrival rate;oVML system dynamics;controllable network;renewal reward approach;centralized training data;on-vehicle machine learning model updates;vehicular communication networking;BFL;autonomous blockchain;decentralized federated learning approach","","1","25","","25 Jun 2020","","","IEEE","IEEE Conferences"
"FLChain: A Blockchain for Auditable Federated Learning with Trust and Incentive","X. Bao; C. Su; Y. Xiong; W. Huang; Y. Hu",USTC; USTC; USTC; USTC; USTC,"2019 5th International Conference on Big Data Computing and Communications (BIGCOM)","21 Nov 2019","2019","","","151","159","Federated learning (shorted as FL) recently proposed by Google is a privacy-preserving method to integrate distributed data trainers. FL is extremely useful due to its ensuring privacy, lower latency, less power consumption and smarter models, but it could fail if multiple trainers abort training or send malformed messages to its partners. Such misbehavior are not auditable and parameter server may compute incorrectly due to single point failure. Furthermore, FL has no incentive to attract sufficient distributed training data and computation power. In this paper, we propose FLChain to build a decentralized, public auditable and healthy FL ecosystem with trust and incentive. FLChain replace traditional FL parameter server whose computation result must be consensual on-chain. Our work is not trivial when it is vital and hard to provide enough incentive and deterrence to distributed trainers. We achieve model commercialization by providing a healthy marketplace for collaborative-training models. Honest trainer can gain fairly partitioned profit from well-trained model according to its contribution and the malicious can be timely detected and heavily punished. To reduce the time cost of misbehavior detecting and model query, we design DDCBF for accelerating the query of blockchain-documented information. Finally, we implement a prototype of our work and measure the cost of various operations.","","978-1-7281-4024-7","10.1109/BIGCOM.2019.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8905038","blockchain;federated learning;incentive;decentralize;trust","","","","","1","22","","21 Nov 2019","","","IEEE","IEEE Conferences"
"Towards Federated Learning Approach to Determine Data Relevance in Big Data","R. Doku; D. B. Rawat; C. Liu",Howard University; Howard University; Howard University,"2019 IEEE 20th International Conference on Information Reuse and Integration for Data Science (IRI)","19 Sep 2019","2019","","","184","192","In the past few years, data has proliferated to astronomical proportions; as a result, big data has become the driving force behind the growth of many machine learning innovations. However, the incessant generation of data in the information age poses a needle in the haystack problem, where it has become challenging to determine useful data from a heap of irrelevant ones. This has resulted in a quality over quantity issue in data science where a lot of data is being generated, but the majority of it is irrelevant. Furthermore, most of the data and the resources needed to effectively train machine learning models are owned by major tech companies, resulting in a centralization problem. As such, federated learning seeks to transform how machine learning models are trained by adopting a distributed machine learning approach. Another promising technology is the blockchain, whose immutable nature ensures data integrity. By combining the blockchain's trust mechanism and federated learning's ability to disrupt data centralization, we propose an approach that determines relevant data and stores the data in a decentralized manner.","","978-1-7281-1337-1","10.1109/IRI.2019.00039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8843451","Federated Learning Approach, Data Relevance, Big Data Analytics, Machine Learning","Data models;Blockchain;Machine learning;Mobile handsets;Data privacy;Cryptography;Big Data","Big Data;data integrity;learning (artificial intelligence)","federated learning approach;big data;astronomical proportions;machine learning innovations;incessant generation;haystack problem;data science;machine learning models;distributed machine learning approach;data integrity;data centralization;data relevance","","3","32","","19 Sep 2019","","","IEEE","IEEE Conferences"
